"File Path","Line","Context","Chinese Text","Suggested Key","i18n Key","Replacement"
"src/pages/setting/agreement/index.vue","28","text","保存","保存","message.text.保存","$t('message.text.保存')"
"src/pages/setting/cityDada/index.vue","8","button","添加省份","添加省份","message.button.添加省份","$t('message.button.添加省份')"
"src/pages/setting/cityDada/index.vue","9","button","清除缓存","清除缓存","message.button.清除缓存","$t('message.button.清除缓存')"
"src/pages/setting/cityDada/index.vue","21","label","编号","编号","message.label.编号","$t('message.label.编号')"
"src/pages/setting/cityDada/index.vue","26","label","地区名称","地区名称","message.label.地区名称","$t('message.label.地区名称')"
"src/pages/setting/cityDada/index.vue","31","label","上级名称","上级名称","message.label.上级名称","$t('message.label.上级名称')"
"src/pages/setting/cityDada/index.vue","36","label","操作","操作","message.label.操作","$t('message.label.操作')"
"src/pages/setting/cityDada/index.vue","38","button","添加","添加","message.button.添加","$t('message.button.添加')"
"src/pages/setting/cityDada/index.vue","40","button","编辑","编辑","message.button.编辑","$t('message.button.编辑')"
"src/pages/setting/cityDada/index.vue","42","button","删除城市","删除城市","message.button.删除城市","$t('message.button.删除城市')"
"src/pages/setting/cityDada/index.vue","42","button","删除","删除","message.button.删除","$t('message.button.删除')"
"src/pages/setting/cityDada/index.vue","67","text","编号","编号","message.text.编号","$t('message.text.编号')"
"src/pages/setting/cityDada/index.vue","72","text","地区名称","地区名称","message.text.地区名称","$t('message.text.地区名称')"
"src/pages/setting/cityDada/index.vue","78","text","上级名称","上级名称","message.text.上级名称","$t('message.text.上级名称')"
"src/pages/setting/cityDada/index.vue","83","text","操作","操作","message.text.操作","$t('message.text.操作')"
"src/pages/setting/cityDada/index.vue","90","text","城市","城市","message.text.城市","$t('message.text.城市')"
"src/pages/setting/clerkList/index.vue","13","label","提货点名称","提货点名称","message.label.提货点名称","$t('message.label.提货点名称')"
"src/pages/setting/clerkList/index.vue","22","button","添加核销员","添加核销员","message.button.添加核销员","$t('message.button.添加核销员')"
"src/pages/setting/clerkList/index.vue","29","text","暂无数据","暂无数据","message.text.暂无数据","$t('message.text.暂无数据')"
"src/pages/setting/clerkList/index.vue","30","text","暂无筛选结果","暂无筛选结果","message.text.暂无筛选结果","$t('message.text.暂无筛选结果')"
"src/pages/setting/clerkList/index.vue","37","label","头像","头像","message.label.头像","$t('message.label.头像')"
"src/pages/setting/clerkList/index.vue","44","label","微信名称","微信名称","message.label.微信名称","$t('message.label.微信名称')"
"src/pages/setting/clerkList/index.vue","49","label","核销员名称","核销员名称","message.label.核销员名称","$t('message.label.核销员名称')"
"src/pages/setting/clerkList/index.vue","54","label","所属提货点","所属提货点","message.label.所属提货点","$t('message.label.所属提货点')"
