"File Path","Line","Context","Chinese Text","Suggested Key","i18n Key","Replacement"
"src/pages/system/auth/index.vue","100","text","验证码模态框是否出现","验证码模态框是否出现","message.text.验证码模态框是否出现","$t('message.text.验证码模态框是否出现')"
"src/pages/system/auth/index.vue","108","text","版权图片","版权图片","message.text.版权图片","$t('message.text.版权图片')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","32","text","只读","只读","message.text.只读","$t('message.text.只读')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","33","text","光标样式","光标样式","message.text.光标样式","$t('message.text.光标样式')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","34","text","自动布局","自动布局","message.text.自动布局","$t('message.text.自动布局')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","35","text","字形边缘","字形边缘","message.text.字形边缘","$t('message.text.字形边缘')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","37","text","字体大小","字体大小","message.text.字体大小","$t('message.text.字体大小')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","38","text","自动布局","自动布局","message.text.自动布局","$t('message.text.自动布局')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","50","text","见","见","message.text.见","$t('message.text.见')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","52","text","编辑器主题","编辑器主题","message.text.编辑器主题","$t('message.text.编辑器主题')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","52","text","更多选择详见官网","更多选择详见官网","message.text.更多选择详见官网","$t('message.text.更多选择详见官网')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","53","text","自动布局","自动布局","message.text.自动布局","$t('message.text.自动布局')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","57","text","竖滚动条","竖滚动条","message.text.竖滚动条","$t('message.text.竖滚动条')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","58","text","横滚动条","横滚动条","message.text.横滚动条","$t('message.text.横滚动条')"
"src/pages/system/backendRouting/components/MonacoEditor.vue","61","text","同","同","message.text.同","$t('message.text.同')"
"src/pages/system/backendRouting/debugging.vue","68","title","必填","必填","message.title.必填","$t('message.title.必填')"
"src/pages/system/backendRouting/debugging.vue","70","text","是","是","message.text.是","$t('message.text.是')"
"src/pages/system/backendRouting/debugging.vue","70","text","否","否","message.text.否","$t('message.text.否')"
"src/pages/system/backendRouting/debugging.vue","73","title","说明","说明","message.title.说明","$t('message.title.说明')"
"src/pages/system/backendRouting/debugging.vue","142","title","必填","必填","message.title.必填","$t('message.title.必填')"
"src/pages/system/backendRouting/debugging.vue","144","text","是","是","message.text.是","$t('message.text.是')"
"src/pages/system/backendRouting/debugging.vue","144","text","否","否","message.text.否","$t('message.text.否')"
"src/pages/system/backendRouting/debugging.vue","147","title","说明","说明","message.title.说明","$t('message.title.说明')"
"src/pages/system/backendRouting/debugging.vue","160","text","插入","插入","message.text.插入","$t('message.text.插入')"
"src/pages/system/backendRouting/debugging.vue","162","button","删除","删除","message.button.删除","$t('message.button.删除')"
"src/pages/system/backendRouting/debugging.vue","170","text","添加参数","添加参数","message.text.添加参数","$t('message.text.添加参数')"
"src/pages/system/backendRouting/debugging.vue","187","title","属性","属性","message.title.属性","$t('message.title.属性')"
"src/pages/system/backendRouting/debugging.vue","197","title","操作","操作","message.title.操作","$t('message.title.操作')"
"src/pages/system/backendRouting/debugging.vue","205","text","插入","插入","message.text.插入","$t('message.text.插入')"
"src/pages/system/backendRouting/debugging.vue","207","button","删除","删除","message.button.删除","$t('message.button.删除')"
"src/pages/system/backendRouting/debugging.vue","211","button","添加参数","添加参数","message.button.添加参数","$t('message.button.添加参数')"
"src/pages/system/backendRouting/debugging.vue","266","text","当前编辑器对象","当前编辑器对象","message.text.当前编辑器对象","$t('message.text.当前编辑器对象')"
"src/pages/system/backendRouting/debugging.vue","311","text","复制成功","复制成功","message.text.复制成功","$t('message.text.复制成功')"
"src/pages/system/backendRouting/debugging.vue","469","text","需要指定父节点","需要指定父节点","message.text.需要指定父节点","$t('message.text.需要指定父节点')"
"src/pages/system/backendRouting/debugging.vue","469","text","自动插入该节点中","自动插入该节点中","message.text.自动插入该节点中","$t('message.text.自动插入该节点中')"
"src/pages/system/backendRouting/debugging.vue","477","text","需要指定父节点","需要指定父节点","message.text.需要指定父节点","$t('message.text.需要指定父节点')"
"src/pages/system/backendRouting/debugging.vue","477","text","自动插入该节点中","自动插入该节点中","message.text.自动插入该节点中","$t('message.text.自动插入该节点中')"
"src/pages/system/backendRouting/debugging.vue","481","text","将父节点展开","将父节点展开","message.text.将父节点展开","$t('message.text.将父节点展开')"
"src/pages/system/backendRouting/debugging.vue","482","text","插入子节点","插入子节点","message.text.插入子节点","$t('message.text.插入子节点')"
"src/pages/system/backendRouting/index.vue","72","text","新建文件夹","新建文件夹","message.text.新建文件夹","$t('message.text.新建文件夹')"
"src/pages/system/backendRouting/index.vue","209","title","属性","属性","message.title.属性","$t('message.title.属性')"
"src/pages/system/backendRouting/index.vue","284","title","属性","属性","message.title.属性","$t('message.title.属性')"
"src/pages/system/backendRouting/index.vue","354","title","属性","属性","message.title.属性","$t('message.title.属性')"
"src/pages/system/backendRouting/index.vue","430","title","属性","属性","message.title.属性","$t('message.title.属性')"
"src/pages/system/backendRouting/index.vue","449","title","必填","必填","message.title.必填","$t('message.title.必填')"
"src/pages/system/backendRouting/index.vue","486","label","请求数据示例","请求数据示例","message.label.请求数据示例","$t('message.label.请求数据示例')"
"src/pages/system/backendRouting/index.vue","493","placeholder","请输入","请输入","message.placeholder.请输入","$t('message.placeholder.请输入')"
"src/pages/system/backendRouting/index.vue","509","placeholder","请输入","请输入","message.placeholder.请输入","$t('message.placeholder.请输入')"
"src/pages/system/backendRouting/index.vue","565","button","保存","保存","message.button.保存","$t('message.button.保存')"
"src/pages/system/backendRouting/index.vue","650","text","请输入正确的描述","请输入正确的描述","message.text.请输入正确的描述","$t('message.text.请输入正确的描述')"
"src/pages/system/backendRouting/index.vue","650","text","不能多于","不能多于","message.text.不能多于","$t('message.text.不能多于')"
"src/pages/system/backendRouting/index.vue","650","text","位数","位数","message.text.位数","$t('message.text.位数')"
"src/pages/system/backendRouting/index.vue","731","text","左侧导航右键点击是产生的数据对象","左侧导航右键点击是产生的数据对象","message.text.左侧导航右键点击是产生的数据对象","$t('message.text.左侧导航右键点击是产生的数据对象')"
"src/pages/system/backendRouting/index.vue","794","text","立即同步","立即同步","message.text.立即同步","$t('message.text.立即同步')"
"src/pages/system/backendRouting/index.vue","795","text","同步之后","同步之后","message.text.同步之后","$t('message.text.同步之后')"
"src/pages/system/backendRouting/index.vue","795","text","路由文件中新增的接口添加到接口列表中","路由文件中新增的接口添加到接口列表中","message.text.路由文件中新增的接口添加到接口列表中","$t('message.text.路由文件中新增的接口添加到接口列表中')"
"src/pages/system/backendRouting/index.vue","795","text","路由文件中删除的路由会同步的在接口列表中删除","路由文件中删除的路由会同步的在接口列表中删除","message.text.路由文件中删除的路由会同步的在接口列表中删除","$t('message.text.路由文件中删除的路由会同步的在接口列表中删除')"
"src/pages/system/backendRouting/index.vue","797","text","取消","取消","message.text.取消","$t('message.text.取消')"
"src/pages/system/backendRouting/index.vue","798","text","确定","确定","message.text.确定","$t('message.text.确定')"
"src/pages/system/backendRouting/index.vue","958","text","需要指定父节点","需要指定父节点","message.text.需要指定父节点","$t('message.text.需要指定父节点')"
"src/pages/system/backendRouting/index.vue","958","text","自动插入该节点中","自动插入该节点中","message.text.自动插入该节点中","$t('message.text.自动插入该节点中')"
"src/pages/system/backendRouting/index.vue","966","text","需要指定父节点","需要指定父节点","message.text.需要指定父节点","$t('message.text.需要指定父节点')"
"src/pages/system/backendRouting/index.vue","966","text","自动插入该节点中","自动插入该节点中","message.text.自动插入该节点中","$t('message.text.自动插入该节点中')"
"src/pages/system/backendRouting/index.vue","974","text","需要指定父节点","需要指定父节点","message.text.需要指定父节点","$t('message.text.需要指定父节点')"
